City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,serebriya,48.4559,27.7192,273.15,84,9,2.54,UA,1674523798
359,clearlake,38.9582,-122.6264,286.36,28,2,2.76,US,1674523798
360,acandi,8.5063,-77.2778,297.79,92,81,2.03,CO,1674523799
361,flinders,-34.5833,150.8552,301.03,66,78,2.68,AU,1674523799
362,cumberland,35.0502,-78.8664,280.64,58,0,2.68,US,1674523800
363,richards bay,-28.783,32.0377,295.63,92,1,4.12,ZA,1674523800
364,kalabo,-14.97,22.6814,291.56,89,96,2.21,ZM,1674523801
365,ancud,-41.8697,-73.8203,286.14,87,100,4.32,CL,1674523801
366,roald,62.5833,6.1333,280.98,87,100,6.69,NO,1674523801
367,lipin bor,60.2622,37.9763,263.87,97,98,2.76,RU,1674523803
368,maues,-3.3836,-57.7186,295.8,98,95,0.99,BR,1674523803
369,port blair,11.6667,92.75,296.17,88,75,1.03,IN,1674523804
370,raga,8.4596,25.678,293.22,17,46,1.14,SS,1674523804
371,kostomuksha,64.571,30.5767,268.19,93,100,5.38,RU,1674523806
372,vredendal,-31.6683,18.5012,289.05,91,3,1.13,ZA,1674523806
373,kaohsiung,22.6163,120.3133,289.12,73,40,8.75,TW,1674523618
374,taoudenni,22.6783,-3.9836,289.67,23,0,2.96,ML,1674523807
375,cidreira,-30.1811,-50.2056,297.42,79,0,5.49,BR,1674523580
376,nargana,9.4428,-78.5906,299.36,86,26,5.63,PA,1674523807
377,pueblo,38.2545,-104.6091,272.42,71,0,2.57,US,1674523808
378,jalu,29.0331,21.5482,284.25,62,0,4.16,LY,1674523808
379,te anau,-45.4167,167.7167,290.4,50,6,1.44,NZ,1674523636
380,melito di porto salvo,37.9222,15.7714,283.45,70,0,1.54,IT,1674523810
381,melfort,52.8667,-104.6177,263.22,85,100,3.6,CA,1674523811
382,dong hoi,17.4833,106.6,290.45,89,100,11.45,VN,1674523812
383,varkkallai,8.7341,76.7067,300.03,78,86,2.52,IN,1674523812
384,dhidhdhoo,6.8833,73.1,299.67,76,100,4.81,MV,1674523813
385,quzhou,28.9594,118.8686,276.47,52,18,3.29,CN,1674523814
386,fuyu,45.1833,124.8167,250.04,56,1,4.93,CN,1674523815
387,umm kaddadah,13.6017,26.6876,289.33,17,46,6.29,SD,1674523816
388,torrevieja,37.9787,-0.6822,280.43,67,92,1.79,ES,1674523816
389,chakrata,30.7,77.85,275.89,32,100,1.61,IN,1674523817
390,asau,46.4333,26.4,271.66,84,100,2.43,RO,1674523818
391,algeciras,36.1333,-5.4505,280.97,53,20,1.54,ES,1674523818
392,ufimskiy,56.7084,58.0517,252.96,100,84,1.18,RU,1674523819
393,homer,59.6425,-151.5483,277.62,91,100,0.0,US,1674523819
394,porto murtinho,-21.6989,-57.8825,295.12,96,100,1.35,BR,1674523819
395,lagoa,39.05,-27.9833,288.13,78,79,11.86,PT,1674523820
396,kropotkin,45.4375,40.5756,273.92,77,7,6.74,RU,1674523821
397,la orilla,17.9833,-102.2333,296.32,74,0,1.88,MX,1674523821
398,lata,40.1629,-8.3327,278.1,62,0,2.17,PT,1674523607
399,san javier,37.8063,-0.8374,280.99,67,0,3.6,ES,1674523822
400,ende,-8.8432,121.6623,301.81,71,95,1.64,ID,1674523822
401,tambopata,-12.7333,-69.1833,297.33,89,100,1.59,PE,1674523823
402,chara,56.9064,118.2631,239.63,88,82,0.38,RU,1674523824
403,fukue,32.6881,128.8419,273.35,74,75,10.8,JP,1674523824
404,san policarpo,12.1791,125.5072,300.3,80,100,7.17,PH,1674523825
405,mildura,-34.2,142.15,299.86,59,99,4.29,AU,1674523825
406,pitimbu,-7.4706,-34.8086,300.48,74,12,5.14,BR,1674523826
407,half moon bay,37.4636,-122.4286,288.02,48,0,4.12,US,1674523391
408,nuzvid,16.7833,80.85,292.62,83,25,1.57,IN,1674523826
409,hede,33.7681,120.2517,267.66,30,55,8.85,CN,1674523827
410,ravar,31.2656,56.8055,273.58,47,0,1.02,IR,1674523827
411,qasigiannguit,68.8193,-51.1922,266.29,90,100,1.35,GL,1674523828
412,makakilo city,21.3469,-158.0858,300.33,63,0,5.14,US,1674523828
413,porto novo,6.4965,2.6036,301.05,87,4,2.4,BJ,1674523829
414,bilma,18.6853,12.9164,292.8,13,0,2.69,NE,1674523829
415,ulaangom,49.9811,92.0667,247.47,88,100,0.74,MN,1674523829
416,paita,-5.0892,-81.1144,294.83,79,80,3.51,PE,1674523594
417,husavik,66.0449,-17.3389,270.42,58,100,3.99,IS,1674523830
418,mbeya,-8.9,33.45,287.55,98,100,1.63,TZ,1674523830
419,jalingo,8.8833,11.3667,297.55,20,32,2.11,NG,1674523831
420,alofi,-19.0595,-169.9187,301.09,78,75,1.54,NU,1674523831
421,khani,41.9563,42.9566,274.91,48,0,2.79,GE,1674523832
422,karasjok,69.4719,25.5112,267.91,78,19,5.45,NO,1674523832
423,mitsamiouli,-11.3847,43.2844,299.61,83,100,5.87,KM,1674523833
424,kajaani,64.2273,27.7285,268.18,93,100,4.63,FI,1674523833
425,pingliang,35.5392,106.6861,261.43,28,0,2.72,CN,1674523833
426,toronto,43.7001,-79.4163,274.81,75,100,6.69,CA,1674523398
427,shingu,33.7333,135.9833,282.8,58,21,6.09,JP,1674523834
428,longyearbyen,78.2186,15.6401,270.06,68,75,5.14,SJ,1674523368
429,dutse,11.7594,9.3392,292.8,19,95,3.62,NG,1674523835
430,shebalino,51.2917,85.6772,260.91,97,100,0.81,RU,1674523835
431,wanaka,-44.7,169.15,293.24,46,44,1.21,NZ,1674523835
432,vila franca do campo,37.7167,-25.4333,288.38,82,81,6.45,PT,1674523836
433,pyinmana,19.7333,96.2167,294.11,32,96,1.61,MM,1674523837
434,moyale,3.5167,39.0584,294.52,39,8,4.68,KE,1674523837
435,raton,36.9034,-104.4391,269.49,93,100,2.57,US,1674523838
436,waitati,-45.75,170.5667,288.04,61,100,2.69,NZ,1674523839
437,russkaya polyana,49.417,31.9201,270.31,84,9,2.69,UA,1674523839
438,fuerte,17.5381,120.3644,301.54,85,100,10.35,PH,1674523839
439,basco,20.4487,121.9702,296.68,78,42,13.57,PH,1674523840
440,kaeo,-35.1,173.7833,297.22,70,98,3.76,NZ,1674523572
441,ostersund,63.1792,14.6357,274.4,100,20,5.14,SE,1674523840
442,arawa,-6.2132,155.5367,303.57,64,100,2.45,PG,1674523841
443,gat,31.61,34.7642,289.48,59,0,0.89,IL,1674523800
444,oistins,13.0667,-59.5333,298.2,78,40,8.75,BB,1674523842
445,fort myers beach,26.452,-81.9481,293.16,75,0,5.14,US,1674523843
446,paamiut,61.994,-49.6678,270.0,81,100,7.25,GL,1674523843
447,show low,34.2542,-110.0298,267.64,79,100,3.6,US,1674523844
448,isla mujeres,21.2311,-86.731,298.24,81,0,4.06,MX,1674523567
449,kenai,60.5544,-151.2583,271.53,93,100,2.57,US,1674523844
450,strand,-34.1069,18.8275,293.11,82,13,3.13,ZA,1674523845
451,san-pedro,4.7485,-6.6363,298.31,90,72,2.19,CI,1674523845
452,eureka,40.8021,-124.1637,285.49,84,5,0.89,US,1674523727
453,sao filipe,14.8961,-24.4956,294.23,63,2,3.54,CV,1674523624
454,havoysund,70.9963,24.6622,272.28,70,78,18.48,NO,1674523339
455,rutul,41.5357,47.4239,268.31,40,0,1.32,RU,1674523846
456,beian,63.6559,9.5683,279.27,100,75,7.2,NO,1674523847
457,tukrah,32.5341,20.5791,285.6,44,0,2.8,LY,1674523847
458,tacuarembo,-31.7333,-55.9833,296.53,21,0,6.59,UY,1674523848
459,vestmannaeyjar,63.4427,-20.2734,278.87,88,100,11.9,IS,1674523848
460,tongliao,43.6125,122.2653,252.28,39,0,5.57,CN,1674523848
461,ilfracombe,51.2093,-4.1134,275.81,71,17,2.72,GB,1674523849
462,iisaku,59.1014,27.3081,270.55,85,100,4.88,EE,1674523850
463,sarakhs,36.5449,61.1577,269.48,69,12,2.96,IR,1674523850
464,seymchan,62.8833,152.4333,241.87,92,100,0.75,RU,1674523851
465,atambua,-9.1061,124.8925,299.68,69,100,0.56,ID,1674523851
466,rio verde de mato grosso,-18.9181,-54.8442,295.26,96,100,1.65,BR,1674523852
467,las vegas,36.175,-115.1372,285.53,27,0,5.66,US,1674523200
468,kampene,-3.6,26.6667,291.94,96,100,1.13,CD,1674523852
469,alpena,45.0617,-83.4327,271.29,85,0,3.6,US,1674523853
470,qesarya,32.5189,34.9046,287.23,58,0,4.68,IL,1674523853
471,culpeper,38.5004,-77.9664,278.31,61,100,2.57,US,1674523700
472,ushtobe,45.2514,77.9838,257.94,87,100,2.03,KZ,1674523854
473,wanning,18.8003,110.3967,290.39,87,100,8.6,CN,1674523855
474,fairbanks,64.8378,-147.7164,251.82,76,100,0.0,US,1674523777
475,laguna,38.421,-121.4238,289.31,43,0,4.63,US,1674523855
476,port macquarie,-31.4333,152.9167,301.42,64,7,5.17,AU,1674523856
477,pedernales,18.0384,-71.744,297.29,61,18,2.52,DO,1674523856
478,garmsar,35.2182,52.3409,274.52,45,28,1.43,IR,1674523857
479,ratangarh,28.0833,74.6,284.83,68,0,3.64,IN,1674523857
480,tolosa,43.6043,1.4437,274.14,86,100,4.12,FR,1674523817
481,atikokan,48.7555,-91.6216,264.98,93,93,3.08,CA,1674523858
482,lons,43.3167,-0.4,273.72,100,100,2.06,FR,1674523859
483,tura,25.5198,90.2201,287.76,60,8,1.52,IN,1674523605
484,champerico,14.3,-91.9167,299.06,73,0,2.5,GT,1674523859
